"Date","WDay","Article ID","Portal","Section","Article URL","Mod Time","Printed"
"2021-12-21","Tue","ax-2230307","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230307","2021-12-21T12:37:08.626Z","1"
"2021-12-21","Tue","ax-2230318","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230318","2021-12-21T11:14:15.237Z","1"
"2021-12-21","Tue","ax-2230319","yawomZ","business","yawomZ/sections/business/?article-id=2230319","2021-12-21T12:11:50.191Z","0"
"2021-12-21","Tue","ax-2230354","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230354","2021-12-21T12:58:15.290Z","0"
"2021-12-21","Tue","ax-2230365","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230365","2021-12-21T14:52:54.510Z","0"
"2021-12-21","Tue","ax-2230418","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230418","2021-12-21T14:14:04.430Z","0"
"2021-12-21","Tue","ax-2230479","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2230479","2021-12-21T15:32:37.469Z","1"
"2021-12-21","Tue","ax-2230489","XCvhz5","people","XCvhz5/sections/people/?article-id=2230489","2021-12-21T15:26:20.632Z","1"
"2021-12-21","Tue","ax-2230512","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230512","2021-12-21T15:52:59.287Z","1"
"2021-12-21","Tue","ax-2230597","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230597","2021-12-21T18:38:57.244Z","0"
"2021-12-22","Wed","ax-2230630","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230630","2021-12-22T06:43:57.986Z","0"
"2021-12-22","Wed","ax-2230631","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230631","2021-12-22T06:17:35.154Z","1"
"2021-12-22","Wed","ax-2230635","yawomZ","business","yawomZ/sections/business/?article-id=2230635","2021-12-22T06:38:26.370Z","0"
"2021-12-22","Wed","ax-2230680","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2230680","2021-12-22T13:28:17.693Z","1"
"2021-12-22","Wed","ax-2230686","g8Tvm0","people","g8Tvm0/sections/people/?article-id=2230686","2021-12-22T08:59:27.802Z","1"
"2021-12-22","Wed","ax-2230698","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230698","2021-12-22T09:30:24.146Z","0"
"2021-12-22","Wed","ax-2230703","XCvhz5","people","XCvhz5/sections/people/?article-id=2230703","2021-12-22T09:32:01.960Z","0"
"2021-12-22","Wed","ax-2230712","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230712","2021-12-22T09:34:16.640Z","0"
"2021-12-22","Wed","ax-2230766","XCvhz5","people","XCvhz5/sections/people/?article-id=2230766","2021-12-22T10:22:51.453Z","1"
"2021-12-22","Wed","ax-2230789","wiJddb","-","wiJddb/sections/?article-id=2230789","2021-12-22T12:38:22.217Z","1"
"2021-12-22","Wed","ax-2230803","yawomZ","business","yawomZ/sections/business/?article-id=2230803","2021-12-22T11:31:39.315Z","1"
"2021-12-22","Wed","ax-2230927","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2230927","2021-12-22T21:10:23.824Z","1"
"2021-12-22","Wed","ax-2230941","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230941","2021-12-22T14:46:20.193Z","1"
"2021-12-22","Wed","ax-2230971","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2230971","2021-12-22T15:25:49.226Z","0"
"2021-12-23","Thu","ax-2231089","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231089","2021-12-23T05:46:51.854Z","1"
"2021-12-23","Thu","ax-2231090","yawomZ","business","yawomZ/sections/business/?article-id=2231090","2021-12-23T06:27:33.463Z","0"
"2021-12-23","Thu","ax-2231097","XCvhz5","people","XCvhz5/sections/people/?article-id=2231097","2021-12-23T09:22:42.904Z","0"
"2021-12-23","Thu","ax-2231098","XCvhz5","people","XCvhz5/sections/people/?article-id=2231098","2021-12-23T07:29:36.762Z","1"
"2021-12-23","Thu","ax-2231102","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231102","2021-12-23T08:18:10.233Z","1"
"2021-12-23","Thu","ax-2231110","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231110","2021-12-23T08:12:30.097Z","0"
"2021-12-23","Thu","ax-2231135","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231135","2021-12-23T08:59:17.420Z","1"
"2021-12-23","Thu","ax-2231147","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231147","2021-12-23T09:00:18.258Z","1"
"2021-12-23","Thu","ax-2231160","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231160","2021-12-23T12:42:09.719Z","0"
"2021-12-23","Thu","ax-2231165","XCvhz5","people","XCvhz5/sections/people/?article-id=2231165","2021-12-23T09:48:20.659Z","0"
"2021-12-23","Thu","ax-2231205","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231205","2021-12-23T15:02:59.082Z","0"
"2021-12-23","Thu","ax-2231220","XCvhz5","people","XCvhz5/sections/people/?article-id=2231220","2021-12-23T11:13:33.824Z","1"
"2021-12-23","Thu","ax-2231248","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231248","2021-12-23T12:24:34.019Z","1"
"2021-12-23","Thu","ax-2231339","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231339","2021-12-23T17:38:05.743Z","1"
"2021-12-23","Thu","ax-2231467","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231467","2021-12-23T16:43:29.669Z","0"
"2021-12-24","Fri","ax-2231532","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231532","2021-12-24T05:41:57.456Z","0"
"2021-12-24","Fri","ax-2231535","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231535","2021-12-24T06:31:52.142Z","1"
"2021-12-24","Fri","ax-2231540","yawomZ","business","yawomZ/sections/business/?article-id=2231540","2021-12-24T08:10:48.536Z","0"
"2021-12-24","Fri","ax-2231556","yawomZ","business","yawomZ/sections/business/?article-id=2231556","2021-12-24T08:45:13.027Z","0"
"2021-12-24","Fri","ax-2231560","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231560","2021-12-24T09:08:15.349Z","0"
"2021-12-24","Fri","ax-2231599","XCvhz5","people","XCvhz5/sections/people/?article-id=2231599","2021-12-24T11:57:46.816Z","0"
"2021-12-24","Fri","ax-2231616","XCvhz5","people","XCvhz5/sections/people/?article-id=2231616","2021-12-24T15:10:07.582Z","1"
"2021-12-25","Sat","ax-2231641","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231641","2021-12-25T09:29:00.615Z","0"
"2021-12-25","Sat","ax-2231667","XCvhz5","people","XCvhz5/sections/people/?article-id=2231667","2021-12-25T13:26:17.367Z","1"
"2021-12-25","Sat","ax-2231671","XCvhz5","people","XCvhz5/sections/people/?article-id=2231671","2021-12-25T15:26:00.648Z","1"
"2021-12-25","Sat","ax-2231674","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231674","2021-12-25T16:24:54.079Z","0"
"2021-12-26","Sun","ax-2231687","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231687","2021-12-26T08:29:49.800Z","1"
"2021-12-26","Sun","ax-2231690","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231690","2021-12-26T08:47:37.167Z","1"
"2021-12-26","Sun","ax-2231695","yawomZ","business","yawomZ/sections/business/?article-id=2231695","2021-12-26T09:38:05.071Z","0"
"2021-12-26","Sun","ax-2231701","XCvhz5","people","XCvhz5/sections/people/?article-id=2231701","2021-12-26T10:57:26.207Z","0"
"2021-12-28","Tue","ax-2231738","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231738","2021-12-28T05:00:00.000Z","1"
"2021-12-27","Mon","ax-2231776","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231776","2021-12-27T05:45:05.843Z","0"
"2021-12-27","Mon","ax-2231798","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231798","2021-12-27T08:23:09.447Z","1"
"2021-12-27","Mon","ax-2231812","XCvhz5","people","XCvhz5/sections/people/?article-id=2231812","2021-12-27T08:53:12.260Z","1"
"2021-12-27","Mon","ax-2231830","yawomZ","business","yawomZ/sections/business/?article-id=2231830","2021-12-27T09:23:57.683Z","0"
"2021-12-27","Mon","ax-2231842","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231842","2021-12-27T09:44:47.788Z","0"
"2021-12-27","Mon","ax-2231891","XCvhz5","people","XCvhz5/sections/people/?article-id=2231891","2021-12-27T11:07:59.552Z","0"
"2021-12-27","Mon","ax-2231931","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231931","2021-12-27T14:33:51.925Z","1"
"2022-01-03","Mon","ax-2231931","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231931","2022-01-03T14:13:11.106Z","1"
"2021-12-27","Mon","ax-2231943","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231943","2021-12-27T13:27:40.004Z","0"
"2021-12-27","Mon","ax-2231973","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2231973","2021-12-27T14:18:45.662Z","0"
"2021-12-27","Mon","ax-2231995","yawomZ","business","yawomZ/sections/business/?article-id=2231995","2021-12-27T14:59:01.871Z","0"
"2021-12-27","Mon","ax-2232005","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232005","2021-12-27T15:24:25.857Z","0"
"2021-12-27","Mon","ax-2232033","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232033","2021-12-27T16:16:16.880Z","1"
"2021-12-28","Tue","ax-2232113","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232113","2021-12-28T05:38:33.872Z","1"
"2021-12-28","Tue","ax-2232114","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232114","2021-12-28T06:53:40.209Z","0"
"2021-12-28","Tue","ax-2232131","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2232131","2021-12-28T13:26:07.697Z","1"
"2021-12-28","Tue","ax-2232142","XCvhz5","people","XCvhz5/sections/people/?article-id=2232142","2021-12-28T09:26:38.068Z","0"
"2021-12-28","Tue","ax-2232155","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2232155","2021-12-28T10:30:14.701Z","1"
"2021-12-28","Tue","ax-2232193","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232193","2021-12-28T14:35:04.857Z","0"
"2021-12-28","Tue","ax-2232252","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232252","2021-12-28T14:43:48.225Z","1"
"2021-12-28","Tue","ax-2232290","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232290","2021-12-28T15:19:37.371Z","0"
"2021-12-28","Tue","ax-2232302","XCvhz5","people","XCvhz5/sections/people/?article-id=2232302","2021-12-28T15:33:44.686Z","1"
"2021-12-28","Tue","ax-2232326","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232326","2021-12-28T16:30:53.493Z","0"
"2021-12-29","Wed","ax-2232387","XCvhz5","people","XCvhz5/sections/people/?article-id=2232387","2021-12-29T05:16:48.488Z","1"
"2021-12-29","Wed","ax-2232388","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232388","2021-12-29T06:00:47.803Z","1"
"2021-12-29","Wed","ax-2232391","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232391","2021-12-29T06:32:49.502Z","0"
"2021-12-29","Wed","ax-2232412","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232412","2021-12-29T08:11:03.661Z","0"
"2021-12-29","Wed","ax-2232423","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2232423","2021-12-29T14:48:01.742Z","1"
"2021-12-29","Wed","ax-2232427","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2232427","2021-12-29T12:02:29.932Z","0"
"2021-12-29","Wed","ax-2232442","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232442","2021-12-29T09:28:33.810Z","1"
"2021-12-29","Wed","ax-2232544","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232544","2021-12-29T14:33:48.376Z","0"
"2021-12-29","Wed","ax-2232557","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232557","2021-12-29T13:23:37.207Z","1"
"2021-12-29","Wed","ax-2232569","yawomZ","business","yawomZ/sections/business/?article-id=2232569","2021-12-29T13:42:11.426Z","1"
"2021-12-29","Wed","ax-2232582","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232582","2021-12-29T13:54:58.772Z","1"
"2021-12-29","Wed","ax-2232599","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232599","2021-12-29T14:19:51.081Z","0"
"2021-12-30","Thu","ax-2232632","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2232632","2021-12-30T11:27:26.750Z","1"
"2021-12-29","Wed","ax-2232701","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2232701","2021-12-29T18:05:59.589Z","1"
"2021-12-30","Thu","ax-2233498","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233498","2021-12-30T05:51:21.958Z","1"
"2021-12-30","Thu","ax-2233500","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233500","2021-12-30T06:23:05.035Z","0"
"2021-12-30","Thu","ax-2233504","XCvhz5","people","XCvhz5/sections/people/?article-id=2233504","2021-12-30T15:18:31.098Z","1"
"2021-12-30","Thu","ax-2233509","yawomZ","business","yawomZ/sections/business/?article-id=2233509","2021-12-30T08:47:01.910Z","1"
"2021-12-30","Thu","ax-2233553","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233553","2021-12-30T14:00:28.043Z","1"
"2021-12-30","Thu","ax-2233572","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233572","2021-12-30T10:14:42.235Z","0"
"2021-12-30","Thu","ax-2233589","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233589","2021-12-30T14:34:31.082Z","0"
"2021-12-30","Thu","ax-2233661","XCvhz5","people","XCvhz5/sections/people/?article-id=2233661","2021-12-30T13:51:16.631Z","0"
"2021-12-30","Thu","ax-2233693","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233693","2021-12-30T14:27:16.952Z","1"
"2021-12-31","Fri","ax-2233693","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233693","2021-12-31T10:09:46.858Z","1"
"2021-12-30","Thu","ax-2233704","yawomZ","business","yawomZ/sections/business/?article-id=2233704","2021-12-30T17:55:35.307Z","1"
"2021-12-30","Thu","ax-2233739","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233739","2021-12-30T16:25:07.232Z","1"
"2021-12-30","Thu","ax-2233765","XCvhz5","people","XCvhz5/sections/people/?article-id=2233765","2021-12-30T20:31:02.036Z","1"
"2021-12-31","Fri","ax-2233811","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233811","2021-12-31T07:21:32.957Z","0"
"2021-12-31","Fri","ax-2233814","yawomZ","business","yawomZ/sections/business/?article-id=2233814","2021-12-31T08:53:12.535Z","0"
"2021-12-31","Fri","ax-2233815","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233815","2021-12-31T08:25:23.326Z","1"
"2021-12-31","Fri","ax-2233823","XCvhz5","people","XCvhz5/sections/people/?article-id=2233823","2021-12-31T09:04:46.223Z","1"
"2021-12-31","Fri","ax-2233833","XCvhz5","people","XCvhz5/sections/people/?article-id=2233833","2021-12-31T10:18:06.859Z","1"
"2021-12-31","Fri","ax-2233848","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233848","2021-12-31T13:17:49.409Z","1"
"2021-12-31","Fri","ax-2233854","XCvhz5","people","XCvhz5/sections/people/?article-id=2233854","2021-12-31T12:54:54.845Z","1"
"2021-12-31","Fri","ax-2233864","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233864","2021-12-31T14:04:13.496Z","1"
"2021-12-31","Fri","ax-2233896","XCvhz5","people","XCvhz5/sections/people/?article-id=2233896","2021-12-31T16:15:06.085Z","1"
"2021-12-31","Fri","ax-2233905","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233905","2021-12-31T18:24:23.998Z","1"
"2022-01-01","Sat","ax-2233922","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233922","2022-01-01T08:46:26.775Z","0"
"2022-01-01","Sat","ax-2233925","XCvhz5","people","XCvhz5/sections/people/?article-id=2233925","2022-01-01T12:08:07.750Z","1"
"2022-01-01","Sat","ax-2233939","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233939","2022-01-01T11:46:09.284Z","1"
"2022-01-01","Sat","ax-2233948","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233948","2022-01-01T15:00:14.941Z","1"
"2022-01-02","Sun","ax-2233976","yawomZ","business","yawomZ/sections/business/?article-id=2233976","2022-01-02T11:50:58.056Z","1"
"2022-01-02","Sun","ax-2233977","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233977","2022-01-02T08:43:46.613Z","1"
"2022-01-02","Sun","ax-2233979","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2233979","2022-01-02T09:16:04.587Z","0"
"2022-01-02","Sun","ax-2233982","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2233982","2022-01-02T10:29:16.892Z","1"
"2022-01-02","Sun","ax-2234004","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2234004","2022-01-02T15:00:00.000Z","1"
"2022-01-02","Sun","ax-2234012","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234012","2022-01-02T12:20:29.238Z","1"
"2022-01-03","Mon","ax-2234024","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234024","2022-01-03T13:05:05.350Z","1"
"2022-01-04","Tue","ax-2234024","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234024","2022-01-04T14:56:31.693Z","1"
"2022-01-05","Wed","ax-2234024","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234024","2022-01-05T13:09:51.111Z","0"
"2022-01-03","Mon","ax-2234082","XCvhz5","people","XCvhz5/sections/people/?article-id=2234082","2022-01-03T05:13:25.505Z","1"
"2022-01-03","Mon","ax-2234086","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234086","2022-01-03T05:42:57.204Z","1"
"2022-01-03","Mon","ax-2234092","yawomZ","business","yawomZ/sections/business/?article-id=2234092","2022-01-03T06:30:04.343Z","0"
"2022-01-03","Mon","ax-2234097","yawomZ","business","yawomZ/sections/business/?article-id=2234097","2022-01-03T06:40:54.889Z","0"
"2022-01-03","Mon","ax-2234143","yawomZ","business","yawomZ/sections/business/?article-id=2234143","2022-01-03T09:01:39.089Z","0"
"2022-01-03","Mon","ax-2234154","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234154","2022-01-03T09:36:44.048Z","0"
"2022-01-03","Mon","ax-2234179","yawomZ","business","yawomZ/sections/business/?article-id=2234179","2022-01-03T10:06:44.086Z","0"
"2022-01-04","Tue","ax-2234214","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234214","2022-01-04T11:26:21.611Z","0"
"2022-01-03","Mon","ax-2234233","yawomZ","business","yawomZ/sections/business/?article-id=2234233","2022-01-03T12:10:33.522Z","0"
"2022-01-03","Mon","ax-2234264","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2234264","2022-01-03T15:06:17.478Z","1"
"2022-01-03","Mon","ax-2234280","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234280","2022-01-03T16:22:47.578Z","0"
"2022-01-03","Mon","ax-2234306","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234306","2022-01-03T13:42:52.218Z","1"
"2022-01-03","Mon","ax-2234339","XCvhz5","people","XCvhz5/sections/people/?article-id=2234339","2022-01-03T14:46:15.668Z","0"
"2022-01-03","Mon","ax-2234483","yawomZ","business","yawomZ/sections/business/?article-id=2234483","2022-01-03T18:00:58.720Z","0"
"2022-01-05","Wed","ax-2234505","wiJddb","culture","wiJddb/sections/culture/?article-id=2234505","2022-01-05T04:00:00.000Z","1"
"2022-01-04","Tue","ax-2234523","XCvhz5","people","XCvhz5/sections/people/?article-id=2234523","2022-01-04T05:28:57.
122Z","1"
"2022-01-04","Tue","ax-2234524","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234524","2022-01-04T06:23:48.772Z","1"
"2022-01-04","Tue","ax-2234528","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234528","2022-01-04T08:06:17.751Z","1"
"2022-01-04","Tue","ax-2234545","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234545","2022-01-04T08:27:54.781Z","0"
"2022-01-04","Tue","ax-2234557","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234557","2022-01-04T11:25:45.128Z","0"
"2022-01-04","Tue","ax-2234574","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234574","2022-01-04T09:34:44.096Z","0"
"2022-01-04","Tue","ax-2234613","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2234613","2022-01-04T16:38:06.212Z","1"
"2022-01-04","Tue","ax-2234659","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234659","2022-01-04T11:53:06.562Z","1"
"2022-01-04","Tue","ax-2234666","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234666","2022-01-04T12:41:57.403Z","0"
"2022-01-04","Tue","ax-2234674","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234674","2022-01-04T12:33:11.305Z","0"
"2022-01-04","Tue","ax-2234751","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234751","2022-01-04T14:44:10.991Z","1"
"2022-01-04","Tue","ax-2234797","yawomZ","business","yawomZ/sections/business/?article-id=2234797","2022-01-04T15:20:40.945Z","1"
"2022-01-06","Thu","ax-2234821","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234821","2022-01-06T05:00:00.000Z","0"
"2022-01-04","Tue","ax-2234827","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234827","2022-01-04T16:22:29.872Z","0"
"2022-01-04","Tue","ax-2234896","XCvhz5","people","XCvhz5/sections/people/?article-id=2234896","2022-01-04T17:45:25.169Z","0"
"2022-01-04","Tue","ax-2234906","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2234906","2022-01-04T18:55:40.203Z","0"
"2022-01-05","Wed","ax-2234923","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234923","2022-01-05T06:08:14.201Z","1"
"2022-01-05","Wed","ax-2234928","wiJddb","lifestyle","wiJddb/sections/lifestyle/?article-id=2234928","2022-01-05T16:00:00.000Z","0"
"2022-01-05","Wed","ax-2234929","yawomZ","business","yawomZ/sections/business/?article-id=2234929","2022-01-05T06:40:47.298Z","0"
"2022-01-05","Wed","ax-2234944","yawomZ","business","yawomZ/sections/business/?article-id=2234944","2022-01-05T08:51:46.829Z","1"
"2022-01-05","Wed","ax-2234983","XCvhz5","people","XCvhz5/sections/people/?article-id=2234983","2022-01-05T10:44:38.709Z","1"
"2022-01-05","Wed","ax-2234989","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2234989","2022-01-05T11:35:16.437Z","0"
"2022-01-05","Wed","ax-2235000","XCvhz5","people","XCvhz5/sections/people/?article-id=2235000","2022-01-05T12:28:00.177Z","1"
"2022-01-05","Wed","ax-2235030","yawomZ","business","yawomZ/sections/business/?article-id=2235030","2022-01-05T10:59:15.079Z","0"
"2022-01-05","Wed","ax-2235062","wiJddb","lifestyle","wiJddb/sections/lifestyle/?article-id=2235062","2022-01-05T16:00:00.000Z","0"
"2022-01-05","Wed","ax-2235075","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2235075","2022-01-05T12:46:04.347Z","0"
"2022-01-05","Wed","ax-2235097","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2235097","2022-01-05T13:26:33.727Z","0"
"2022-01-05","Wed","ax-2235105","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2235105","2022-01-05T14:08:44.328Z","0"
"2022-01-05","Wed","ax-2235109","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2235109","2022-01-05T13:53:11.342Z","1"
"2022-01-05","Wed","ax-2235123","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2235123","2022-01-05T14:04:05.041Z","1"
"2022-01-05","Wed","ax-2235136","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2235136","2022-01-05T16:06:51.606Z","1"
"2022-01-05","Wed","ax-2235204","XCvhz5","sports","XCvhz5/sections/sports/?article-id=2235204","2022-01-05T17:44:02.301Z","0"
"2022-01-06","Thu","ax-2235255","XCvhz5","localnews","XCvhz5/sections/localnews/?article-id=2235255","2022-01-06T13:30:00.000Z","1"
